"Species","Ind","Site","Area","Diam","source","Sex_sys"
"Ambrosia artemisiifolia","2","LP",263.602,18.3201662238987,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",340.098,20.8092821280634,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",283.207,18.9892167228091,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",280.996,18.9149469761985,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",258.605,18.1456912920461,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",270.618,18.5623688983152,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",330.968,20.528067265135,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",289.645,19.2038399268171,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",266.966,18.4366935294745,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",251.109,17.8807692462853,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",261.2,18.2365064934275,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",277.345,18.7916636180668,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",259.662,18.1827370509784,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",252.743,17.9388511966346,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",286.09,19.0856255164268,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",266.389,18.4167589190513,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",255.914,18.0510338997896,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",261.104,18.233154913194,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",239.866,17.4758941584528,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",223.048,16.8521077012369,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",233.523,17.2432803783152,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",258.605,18.1456912920461,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",234.676,17.2857965798591,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",229.679,17.1007714853812,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",215.937,16.5813005392061,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",253.8,17.9763232184389,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",251.878,17.9081274858318,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",249.476,17.8225337329559,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",226.892,16.9967016442618,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",246.304,17.7088676325295,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",235.061,17.2999699602338,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",235.253,17.3070339058309,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",202.291,16.0488286408704,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",245.92,17.695057751849,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",246.208,17.7054161721817,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",203.924,16.113475755422,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",230.64,17.1365098137782,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",201.233,16.0068052185841,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",223.048,16.8521077012369,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",215.072,16.5480565434519,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",236.406,17.3493938745035,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",230.448,17.1293755462693,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","LP",223.721,16.8775123815003,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",212.765,16.4590647284582,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",227.949,17.0362460942203,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",283.591,19.0020860889269,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",238.232,17.4162683494871,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",248.515,17.7881737528016,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",237.079,17.3740714291805,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",240.25,17.4898770899804,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",286.762,19.1080275886169,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",268.888,18.5029412446981,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",255.818,18.0476478759715,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",269.657,18.5293808831987,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",247.169,17.7399364438728,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",275.134,18.7166099735279,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",239.577,17.465363162815,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",246.016,17.6985112322355,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",270.329,18.5524546324391,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","LP",259.086,18.1625587593614,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",230.544,17.1329430513681,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",234.772,17.2893318088515,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",220.646,16.7611220563432,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",229.199,17.0828929170019,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",235.926,17.331771774149,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",228.526,17.0577941188229,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",239.289,17.4548622859114,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",219.3,16.7099201721738,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",225.066,16.9281697585818,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",244.863,17.6569888328244,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",246.208,17.7054161721817,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",242.556,17.5736134876349,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",228.045,17.0398330971618,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",272.059,18.6117241893679,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",237.079,17.3740714291805,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",250.244,17.8499455638583,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",288.3,19.1592004203502,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",215.456,16.5628228074341,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",241.403,17.5317952822209,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",245.728,17.6881487682765,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","LP",212.285,16.4404883368501,"CS2021","monoecious"
