"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5","Stigma_length","source"
"Amaranthus retroflexus","2021-08-14","FBF2","S15","C",17,3,35,NA,NA,100,101,112,207,261,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","1","1",12,2,16,NA,NA,9,10,10,20,17,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","10","1",0,2,17.5,NA,NA,74,60,111,147,159,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","11","1",2,2,18,NA,NA,38,52,56,66,38,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","12","1",16,2,18.5,NA,NA,13,15,10,41,35,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","13","1",22,2,23,NA,NA,22,44,40,52,90,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","2","1",13,2,12.5,NA,NA,13,17,27,26,35,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","3","1",48,2,18,NA,NA,16,50,54,39,58,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","4","1",13,2,17,NA,NA,27,53,51,56,56,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","45","1",23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","5","1",9,2,17.5,NA,NA,28,26,42,48,54,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","6","1",14,2,17,NA,NA,108,121,140,145,145,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","7","1",3,2,13,NA,NA,14,46,94,89,80,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","8","1",18,2,10.5,NA,NA,34,107,116,94,113,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-07","KMW","9","1",5,2,10,NA,NA,31,25,54,52,56,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-09","KMW","1SA1","1",32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-09","KMW","1SA2","1",72,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-09","KMW","1SA3","1",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
