"Species","Site","Date","Plant","Flower","Flower_extra","Stigma","Pollen","Ovule_dev","Stigmas_per_flw","FlowerID","StigCountsTF","Plantnum","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Observer"
"Amaranthus sp","FBF2",2021-08-14,"S13","B",3,NA,28,NA,3,"14 Aug 2021-S13-B-3",FALSE,"13",60,215,122,200,233,60,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S13","C",1,NA,11,3,3,"14 Aug 2021-S13-C-1",FALSE,"13",43,215,122,200,233,60,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S14","A",1,NA,4,2,3,"14 Aug 2021-S14-A-1",FALSE,"14",78,112,97,100,242,211,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S14","B",1,NA,98,4,3,"14 Aug 2021-S14-B-1",FALSE,"14",55,112,97,100,242,211,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S14","C",1,NA,9,3,3,"14 Aug 2021-S14-C-1",FALSE,"14",42,112,97,100,242,211,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S14","C",2,NA,14,2,3,"14 Aug 2021-S14-C-2",FALSE,"14",42,112,97,100,242,211,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S14","C",3,NA,24,4,3,"14 Aug 2021-S14-C-3",FALSE,"14",42,112,97,100,242,211,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S15","A",1,NA,13,1,3,"14 Aug 2021-S15-A-1",FALSE,"15",52,100,101,112,207,261,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S15","B",1,NA,25,2,3,"14 Aug 2021-S15-B-1",FALSE,"15",40,100,101,112,207,261,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S15","C",1,NA,17,NA,3,"14 Aug 2021-S15-C-1",FALSE,"15",35,100,101,112,207,261,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S15","C",2,NA,11,NA,3,"14 Aug 2021-S15-C-2",FALSE,"15",35,100,101,112,207,261,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S15","C",3,NA,10,NA,3,"14 Aug 2021-S15-C-3",FALSE,"15",35,100,101,112,207,261,NA,"44.336944","-76.398611","Claire"
