"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-09,"KMW","F23",2,2,1,"Jeremiah","",23,600,49,51,55,54,62,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F23",2,3,2,"Jeremiah","",23,600,49,51,55,54,62,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F24",1,1,2,"Jeremiah","",22.8,560,74,78,81,69,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F24",1,2,1,"Jeremiah","",22.8,560,74,78,81,69,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F24",1,3,1,"Jeremiah","",22.8,560,74,78,81,69,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F24",2,1,0,"Jeremiah","",22.8,560,74,78,81,69,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F24",2,2,0,"Jeremiah","",22.8,560,74,78,81,69,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F24",2,3,0,"Jeremiah","",22.8,560,74,78,81,69,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F25",1,1,0,"Jeremiah","",16,700,36,40,54,40,37,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F25",1,2,0,"Jeremiah","",16,700,36,40,54,40,37,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F25",1,3,0,"Jeremiah","",16,700,36,40,54,40,37,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F25",2,1,0,"Jeremiah","",16,700,36,40,54,40,37,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F25",2,2,0,"Jeremiah","",16,700,36,40,54,40,37,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F25",2,3,0,"Jeremiah","",16,700,36,40,54,40,37,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F12",1,1,0,"Claire","",26,125,101,129,136,132,151,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F12",1,2,2,"Claire","",26,125,101,129,136,132,151,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F12",1,3,1,"Claire","",26,125,101,129,136,132,151,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F12",2,1,0,"Claire","",26,125,101,129,136,132,151,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F12",2,2,0,"Claire","",26,125,101,129,136,132,151,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F12",2,3,0,"Claire","",26,125,101,129,136,132,151,"Isabeau"
